Label,image_dims0,image_dims1,image_dims2,vspacing0,vspacing1,vspacing2,displacement_mean,displacement_std
copd1,512,512,121,0.625,0.625,2.5,25.9, 11.57
copd2,512,512,102,0.645,0.645,2.5,21.77, 6.46
copd3,512,512,126,0.652,0.652,2.5,12.29, 6.39
copd4,512,512,126,0.590,0.590,2.5,30.9, 13.49
copd5,512,512,131,0.647,0.647,2.5,30.9, 14.05
copd6,512,512,119,0.633,0.633,2.5,28.32, 9.2
copd7,512,512,112,0.625,0.625,2.5,21.66, 7.66
copd8,512,512,115,0.586,0.586,2.5,25.57, 13.61
copd9,512,512,116,0.664,0.664,2.5,14.84, 10.01
copd10,512,512,135,0.742,0.742,2.5,22.48, 10.64
